,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
188,ID69,smape,0.07736585,0.07123313,0.066894725,0.088853545,0.0824654,0.08266471,0.04297559,0.07870599
189,ID7,smape,0.14059597,0.13562493,0.13423549,0.13152325,0.12934907,0.14364964,0.12579636,0.13355611
190,ID70,smape,0.08021407,0.08672286,0.083987325,0.09328399,0.07712118,0.08398048,0.067661576,0.05341908
191,ID71,smape,0.05341293,0.09888818,0.059379067,0.08466499,0.061065394,0.05205035,0.08526667,0.08767298
192,ID72,smape,0.074914224,0.11637178,0.07187918,0.104926445,0.103805125,0.07482041,0.044174258,0.09089247
193,ID73,smape,0.062283885,0.044568747,0.046006877,0.051571462,0.04413769,0.05476983,0.046440065,0.060193326
194,ID74,smape,0.12445987,0.10690919,0.110456556,0.1242663,0.12801298,0.12329204,0.063207485,0.054054473
195,ID75,smape,0.071247764,0.069102,0.066194184,0.07077216,0.07981316,0.074905924,0.06437261,0.082239725
196,ID76,smape,0.08112646,0.07614736,0.0684342,0.080165304,0.084733665,0.085491896,0.041764915,0.069912165
197,ID77,smape,0.050143957,0.04012776,0.040510546,0.042798277,0.043622136,0.048946977,0.042589843,0.040515058
198,ID78,smape,0.06759219,0.060468152,0.05634689,0.06049216,0.060786083,0.059208453,0.0417961,0.031239549
199,ID79,smape,0.118199624,0.10524926,0.10172579,0.105279945,0.111679696,0.110744946,0.06129549,0.08490214
200,ID8,smape,0.11441514,0.08318073,0.10841769,0.14398883,0.11779681,0.12088519,0.06754113,0.05711433
201,ID80,smape,0.10330097,0.088419765,0.081270225,0.1070646,0.12270982,0.08739168,0.054016784,0.09897301
202,ID81,smape,0.04376402,0.03386924,0.03594284,0.044378,0.059272256,0.041147366,0.03907451,0.15595032
203,ID82,smape,0.061834082,0.045296382,0.04549642,0.04829284,0.04408886,0.04918405,0.066012226,0.103933
204,ID83,smape,0.040368225,0.043374464,0.042583674,0.041142,0.041485827,0.043792266,0.049833912,0.06717383
205,ID84,smape,0.1039452,0.0953555,0.10149037,0.09628425,0.106644996,0.10432523,0.07407704,0.09802786
206,ID85,smape,0.15266247,0.13954893,0.12216904,0.15064587,0.16215159,0.14049001,0.06171872,0.05278698
207,ID86,smape,0.05871704,0.06007443,0.05583364,0.05524102,0.06436258,0.06302834,0.047776103,0.057126116
208,ID87,smape,0.20777772,0.11026468,0.160771,0.24799371,0.20383793,0.18589984,0.15740868,0.10856355
209,ID88,smape,0.15045334,0.082674935,0.10315331,0.15427306,0.14561696,0.13217568,0.100876875,0.07246471
210,ID89,smape,0.07108006,0.06939823,0.069770254,0.06537175,0.068898864,0.069721036,0.058867548,0.08086889
211,ID9,smape,0.030502586,0.02728133,0.029158443,0.026248755,0.029478217,0.02712386,0.047292013,0.13314225
212,ID90,smape,0.10517526,0.11687648,0.10072722,0.10754454,0.13043162,0.10813693,0.06585554,0.05501005
213,ID91,smape,0.1710633,0.14536947,0.14618479,0.15117294,0.16185214,0.16148238,0.12558766,0.097880594
214,ID92,smape,0.04985115,0.04978369,0.04584049,0.05618163,0.043774378,0.051203568,0.07606243,0.1157429
215,ID93,smape,0.08515961,0.06840461,0.06692844,0.072576895,0.06699726,0.07924972,0.032864504,0.033759978
216,ID94,smape,0.13753726,0.14170226,0.12723038,0.12526907,0.123068996,0.12416672,0.10226799,0.11292919
217,ID95,smape,0.081516445,0.050975367,0.054290805,0.05781987,0.061061516,0.060724407,0.053278532,0.046281815
218,ID96,smape,0.087703325,0.033965275,0.052522283,0.05524768,0.063537195,0.047998596,0.14427502,0.06388261
219,ID97,smape,0.10435755,0.102056414,0.089321434,0.12685247,0.1106962,0.10244294,0.04424262,0.031972345
220,ID98,smape,0.049678814,0.044651445,0.047792535,0.045478493,0.054525066,0.047755927,0.04779172,0.10108095
221,ID99,smape,0.060850557,0.04531513,0.04637073,0.050333798,0.06653215,0.062202375,0.03199175,0.07920677
