,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
156,ID77,mase,0.04970376,0.06029283,0.050622743,0.13504489,1.3378868
157,ID78,mase,0.17378342,0.2450666,0.2793225,0.35313842,0.22193076
158,ID79,mase,0.16735223,0.3367393,0.32981533,0.4678009,1.9231812
159,ID8,mase,0.85206187,0.8874129,0.100765884,1.2881585,0.7216747
160,ID80,mase,0.0613326,0.06514958,0.061793905,0.063977055,1.8460575
161,ID81,mase,0.5450828,0.51898324,0.46688393,0.67494816,1.0375717
162,ID82,mase,0.61610687,0.49932343,0.5751794,0.35768154,2.6438124
163,ID83,mase,0.8270455,0.72210467,0.7269315,0.30728385,3.0711172
164,ID84,mase,0.49265108,0.4306174,0.38066363,0.7306895,1.6303631
165,ID85,mase,3.7864451,4.1019173,4.0243573,4.8283353,1.0492228
166,ID86,mase,3.7390664,3.9552953,3.6720073,3.536886,6.216418
167,ID87,mase,0.47523272,0.584606,0.54797167,0.84050727,1.1665987
168,ID88,mase,0.6217818,1.7175531,1.5539986,1.8567419,1.1045752
169,ID89,mase,1.3005387,1.1051948,1.0105245,0.82773757,0.688405
170,ID9,mase,1.709379,1.0215367,1.1422899,1.0594012,2.6258903
171,ID90,mase,0.60990584,0.60915315,0.6116934,0.6299763,2.0514135
172,ID99,mase,0.5968469,0.46787697,0.48708925,0.37949234,0.44457856
173,ID0,smape,0.3055603,0.32885793,0.33168525,0.34974274,0.582232
174,ID1,smape,0.027108602,0.033339318,0.034686342,0.04020023,0.05035425
175,ID10,smape,0.08178587,0.06266242,0.06654898,0.057366055,0.0952381
176,ID101,smape,0.014006076,0.010257045,0.011361159,0.010022121,0.08416291
177,ID102,smape,0.0127500715,0.017701797,0.018133452,0.024751198,0.038541503
178,ID103,smape,0.01755049,0.03164977,0.026384339,0.03304358,0.07479355
179,ID104,smape,0.006850422,0.014160757,0.01280883,0.020608589,0.09579012
180,ID105,smape,0.0037602207,0.009593848,0.008501884,0.012902709,0.047724474
181,ID107,smape,0.027898017,0.018267155,0.017808538,0.00943412,0.06490578
182,ID108,smape,0.045349695,0.05505597,0.058404945,0.07588337,0.039282326
183,ID109,smape,0.31212288,0.3148554,0.3172223,0.32707983,0.308668
184,ID110,smape,0.014740458,0.031280644,0.02535908,0.076229535,0.025547445
185,ID111,smape,0.020494083,0.022863751,0.027999258,0.037118033,0.063951194
186,ID112,smape,0.008437026,0.018432058,0.016827388,0.022080638,0.0619185
187,ID113,smape,0.07923476,0.03546736,0.049616933,0.0032977785,0.09106314
188,ID114,smape,0.035979934,0.023366723,0.029438717,0.024919813,0.092621416
189,ID115,smape,0.023603689,0.026629616,0.031083107,0.046865657,0.031229775
190,ID116,smape,0.0016682835,0.00066106446,0.00062118896,0.0019585448,0.027297128
191,ID117,smape,0.0048213676,0.005461961,0.005361045,0.0067890887,0.025651325
192,ID118,smape,0.0043745576,0.0027083186,0.0027117794,0.00013941353,0.02690771
193,ID119,smape,0.014137287,0.016697774,0.015800595,0.022740185,0.036951285
194,ID12,smape,0.0035963762,0.0036254658,0.002841166,0.0041717673,0.008152089
195,ID120,smape,0.0048097507,0.0044198846,0.0045571756,0.010193407,0.06325111
196,ID121,smape,0.010404779,0.010400781,0.009893584,0.010623787,0.009761629
197,ID122,smape,0.009585957,0.0095208585,0.00926342,0.0063844267,0.028697021
198,ID123,smape,0.011243538,0.006118488,0.005664842,0.0010246787,0.041628893
199,ID124,smape,0.014234912,0.010945378,0.010982527,0.011702542,0.025256462
200,ID125,smape,0.01458762,0.03275022,0.036840603,0.060338058,0.0057345387
201,ID126,smape,0.028614389,0.03015453,0.028015735,0.02210332,0.04933955
202,ID127,smape,0.005273921,0.004794932,0.005007382,0.0044693234,0.033285584
203,ID128,smape,0.0010357948,0.004874548,0.0049388516,0.009304945,0.04991401
204,ID129,smape,0.008001779,0.003834987,0.0038239353,0.0066940174,0.101796746
205,ID13,smape,0.03607888,0.036147274,0.036170155,0.03592017,0.04483328
206,ID130,smape,0.0031656676,0.004362548,0.0042597754,0.0036397977,0.06615961
207,ID131,smape,0.00020541399,0.00037470768,0.00053337245,0.00034720983,0.01961017
208,ID132,smape,0.003688295,0.0037352704,0.003967593,0.0023043307,0.025321888
209,ID133,smape,0.00886302,0.0071347104,0.0076786093,0.0055820155,0.020475017
210,ID134,smape,0.1448189,0.12617949,0.12993968,0.09997846,0.49095732
211,ID135,smape,0.00291788,0.023645887,0.01900988,0.02562062,0.034888104
212,ID136,smape,0.0156064,0.014272062,0.01699277,0.019778464,0.010413412
213,ID137,smape,0.027215894,0.015133748,0.015422214,0.0054060915,0.03155841
214,ID138,smape,0.01205746,0.012336569,0.012211235,0.015969351,0.09552927
215,ID139,smape,0.060673073,0.056259274,0.057091717,0.05206526,0.055762593
216,ID14,smape,0.032440513,0.034176435,0.031735368,0.038157165,0.016997293
217,ID140,smape,0.09370753,0.11128177,0.11196165,0.109564245,0.017534524
218,ID141,smape,0.044569284,0.06669872,0.06379436,0.065821365,0.025816295
219,ID142,smape,0.0025887182,0.0013597964,0.00083497376,0.0041288794,0.012078978
220,ID143,smape,0.021337628,0.024933355,0.023367498,0.03217254,0.036823444
221,ID144,smape,0.055683233,0.046969675,0.047260456,0.039691754,0.0455164
222,ID145,smape,0.0045472933,0.0031646914,0.004551474,0.0044816616,0.008818438
223,ID146,smape,0.015410641,0.014076298,0.016797028,0.019582799,0.01021759
224,ID147,smape,0.00919117,0.0080838995,0.0074432017,0.0068519437,0.0122858565
225,ID148,smape,0.002529507,0.0031651473,0.0031110393,0.0062953336,0.0035627964
226,ID149,smape,0.0026275949,0.004252187,0.004467288,0.004303023,0.003876799
227,ID15,smape,0.12060815,0.11042866,0.11458603,0.097326934,0.18607293
228,ID150,smape,0.0039684973,0.004487141,0.0044559697,0.0072158203,0.0039716954
229,ID151,smape,0.0056944145,0.006018099,0.006059418,0.007419261,0.0037054815
230,ID152,smape,0.031596687,0.027662052,0.029300086,0.031508625,0.033468068
231,ID153,smape,0.027806602,0.07922287,0.06012725,0.11358167,0.07873299
232,ID154,smape,0.007066782,0.026794704,0.028257225,0.03981999,0.025241546
233,ID155,smape,0.013159923,0.03147388,0.036735523,0.061856627,0.017585896
234,ID156,smape,0.028614389,0.03015453,0.028015735,0.02210332,0.04933955
235,ID157,smape,0.045170344,0.025378622,0.02704909,0.014856553,0.07460907
236,ID158,smape,0.03420113,0.02434558,0.024940688,0.017997455,0.03185969
237,ID159,smape,0.0019946254,0.0041958154,0.0041069714,0.00869246,0.05004563
238,ID16,smape,0.09640886,0.08597391,0.089451954,0.070708245,0.13466498
239,ID160,smape,0.027834876,0.017622858,0.02098325,0.011015036,0.021232331
240,ID161,smape,0.01945999,0.013208721,0.013699377,0.008649918,0.049964532
241,ID162,smape,0.035622057,0.06544536,0.06607616,0.07855277,0.021234803
242,ID163,smape,0.053968348,0.075394504,0.079662845,0.08737883,0.012472858
243,ID164,smape,0.19819409,0.19364822,0.19224417,0.19965628,0.21347962
244,ID165,smape,0.017911533,0.007867294,0.015251469,0.010418545,0.025524862
245,ID166,smape,0.112830326,0.11498471,0.119298294,0.123728074,0.107464366
246,ID167,smape,0.06562319,0.06496194,0.06562075,0.062923595,0.13343571
247,ID168,smape,0.0015353705,0.0018701954,0.0017441876,0.002229237,0.00893911
248,ID17,smape,0.06631072,0.06838827,0.06802271,0.0652295,0.050800253
249,ID173,smape,0.018536858,0.027284196,0.021792436,0.033815376,0.019087933
250,ID174,smape,0.009764922,0.010341171,0.010224335,0.011002695,0.06427311
251,ID175,smape,0.0692363,0.0649309,0.068203345,0.054624837,0.088513516
252,ID176,smape,0.18354063,0.18560234,0.18404166,0.19377917,0.21189457
253,ID177,smape,0.02121287,0.020450216,0.019920282,0.024633128,0.052464932
254,ID178,smape,0.00064255437,0.0011574039,0.0012999785,0.00085331843,0.0010217265
255,ID179,smape,0.012532245,0.015080178,0.016971951,0.01959966,0.047322053
256,ID18,smape,0.15084824,0.15326339,0.14768624,0.17099014,0.19647412
257,ID180,smape,0.0097389035,0.011674286,0.0070801377,0.00945705,0.086980164
258,ID181,smape,0.1005965,0.13728863,0.13948146,0.19438282,0.4149733
259,ID182,smape,0.00076666207,0.0014304336,0.002193951,0.005041655,0.031680264
260,ID183,smape,0.0019110022,0.005755241,0.0042427415,0.00977547,0.022522958
261,ID184,smape,0.03284789,0.059132203,0.029931106,0.13432816,0.31542766
262,ID185,smape,0.16050144,0.17253554,0.17205003,0.17042938,0.2246033
263,ID186,smape,0.002206035,0.0021056966,0.0018548911,0.002942988,0.0027472684
264,ID187,smape,0.17532612,0.119937636,0.06315993,0.23121741,0.14163226
265,ID188,smape,0.23820165,0.2936371,0.27722988,0.33772355,0.07137906
266,ID189,smape,0.0050234394,0.0048969397,0.004687161,0.0066996654,0.012443665
267,ID19,smape,0.047265276,0.045671366,0.04276617,0.041201018,0.2042248
268,ID192,smape,0.0562145,0.047696657,0.05281389,0.042425588,0.016666668
269,ID193,smape,0.1324573,0.116479605,0.10747482,0.084957756,0.06404255
270,ID194,smape,0.0070481496,0.004560562,0.005176995,0.0036113968,0.026682183
271,ID195,smape,0.010111708,0.008884525,0.009111867,0.004023117,0.008182459
272,ID196,smape,0.13376671,0.18794975,0.18961509,0.21468475,0.081487894
273,ID197,smape,0.003120523,0.0031619084,0.0031142111,0.003590108,0.043783337
274,ID198,smape,0.0085709775,0.0095087215,0.008967154,0.010144289,0.014865914
275,ID199,smape,0.18231753,0.14936513,0.12418041,0.069971696,0.16286668
276,ID2,smape,0.08314154,0.08200682,0.10230253,0.12601826,0.05253283
